warranty,price,image_item_resize,item_infos
12 tháng,28.990.000,"['https://philong.com.vn/media/product/120-116_apple_macbook_air_13inch_128gb_2017_mqd32.jpg', 'https://philong.com.vn/media/product/120-116_apple_macbook_air_13inch_128gb_2017_mqd32_2.jpg', 'https://philong.com.vn/media/product/120-116_apple_macbook_air_13inch_128gb_2017_mqd32_3.jpg']","['CPU: Intel, Core i7', 'Ram: 8GB, LPDDR3', 'SSD: 128 GB', 'Hệ điều hành: Mac Os', 'Màn hình: 13.3 inch', 'Card màn hình: intel HD Graphics 6000']"
warranty,price,image_item_resize,item_infos
12 tháng,28.990.000,"['https://philong.com.vn/media/product/120-116_apple_macbook_air_13inch_128gb_2017_mqd32.jpg', 'https://philong.com.vn/media/product/120-116_apple_macbook_air_13inch_128gb_2017_mqd32_2.jpg', 'https://philong.com.vn/media/product/120-116_apple_macbook_air_13inch_128gb_2017_mqd32_3.jpg']","['CPU: Intel, Core i7', 'Ram: 8GB, LPDDR3', 'SSD: 128 GB', 'Hệ điều hành: Mac Os', 'Màn hình: 13.3 inch', 'Card màn hình: intel HD Graphics 6000']"
