id,name
41,"LAPTOP DELL INSPIRON 5482 - C4TI7007W (Core i7 8565U, Ram 8GB, SSD 256GB, MÀn hình 14 FHD, Win 10)"
42,"LAPTOP DELL VOSTRO 3480 70187706 (Core i3 8145U, Ram 4GB, HDD 1TB, 14 HD, Win 10)"
43,"LAPTOP DELL VOSTRO 3480 70187647 (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 HD, Win 10)"
44,"LAPTOP ACER ASPIRE A515 53G 5788 (Corre i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6FHD, VAG 2GB, DOS)"
45,"LAPTOP ACER SWIFT 3 SF314 56 50AZ (Core i5 8265U, Ram 8GB, SSD 256GB, Màn hình 14 FHD, WIN 10)"
46,"LAPTOP HP ELITEBOOK X360 1030 G3 5AS42PA (Core i7 8550U, Ram 16GB, SSD 512GB, Màn hình 13.3 FHD, Win 10)"
47,"LAPTOP HP ELITEBOOK X360 1030 G3 5AS44PA (Core i7 8550U, Ram 8GB, SSD 256GB, màn hình 13.3 FHD, Win 10)"
48,"LAPTOP HP ELITEBOOK 1050 G1 5JJ65PA (COre i5 8300H, Ram 16GB, SSD 512GB, Màn hình 15.6 FHD, VGA 1050 4GB, Dos)"
49,"Laptop Lenovo Ideapad 330 15IKB 81DC00ENVN (Core i3 7130U, Win10, màn hình 15.6 HD)"
50,"LAPTOP HP ELITEBOOK X360 1040 G5 5XD03PA (Core I5 8250U, Ram 8G, SSD 256GB, Màn hình 14 FHD, WIN 10)"
51,"LAPTOP ASUS VIVOBOOK X507UA EJ1016T (PENTIUM 4417U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
52,"LAPTOP ASUS ROG STRIX G G531GD AL025T (Core i5 9300H, Ram 8GB, SSD 512GB, Màn hình 15.6 FHD, VGA 1050 4GB, Win 10)"
53,"LAPTOP ASUS VIVIBOOK S14 S430FA EB100T (Core i5 8265U, Ram 4GB, SSD 512GB, Màn hình 14 FHD, WIN 10)"
54,"LAPTOP ASUS VIVOBOOK A512DA EJ406T (RYZEN 5 3500U, Ram 8GB, SSD 512GB, Màn hình 15.6FHD, Win 10)"
55,"LAPTOP ASUS VIVOBOOK S15 S530FA BQ185T (Core i3 8145U, Ram 4GB, HDD 1TB, 15.6 FHD, Win 10)"
56,"LAPTOP ASUS VIVIBOOK X509FA EJ101T (Core i5 8265U, Ram 4GB, HDD 1TB, 15.6FHD , WIN 10)"
57,"LAPTOP LENOVO THINKPAD E490 20N8S0CJ00 (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14, DOS)"
58,"LAPTOP LENOVO THINKPAD E590 20NBS07000 (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6, DOS)"
59,"LAPTOP LENOVO IP 330 14IKBR 81G2007AVN (Core i5 8250U, Ram 4G, HDD 1TB, Màn hình 14 FHD, DOS)"
60,"LAPTOP ASUS VIVOBOOK A512DA EJ422T (RYZEN 5 3500U, Ram 8GB, SSD 512GB, Màn hình 15.6 FHD, Win 10)"
61,"LAPTOP ASUS VIVOBOOK A512FL EJ163T (Core i5 8265U, Ram 8GB, HDD 1TB, Màn hình 15.6 FHD, VGA 2GB, WIN 10)"
62,"LAPTOP ASUS VIVOBOOK S14 S430FA EB321T (Core i5 8265U, Ram 4GB, SSD 512GB, Màn hình 14 FHD, Win 10)"
63,"LAPTOP ACER NITRO 5 AN515 54 71HS (Core i7 9750H, Ram 8GB, SSD 256Gb, Màn hình 15.6 FHD, VGA 1650 4G, Win 10)"
64,"LAPTOP ASUS VIVOBOOK A512FA - EJ570T (Core i3 8145U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, Win 10)"
65,"LAPTOP ASUS VIVOBOOK A512FA - EJ571T (Core i3 8145U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, Win 10)"
66,"LAPTOP ACER SWIFT 3 SF314 56 596E (Core i5 8265U, Ram 4GB, SSD 256GB, Màn hình 14 FHD, Win 10)"
67,"LAPTOP ACER SWIFT 3 SF314 56 51TG (Core i5 8265U, Ram 4GB, SSD 256GB, Màn hình 14 FHD, Win 10)"
68,"LAPTOP HP PAVILION X360 CD1020TU 5HV72PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
69,"LAPTOP HP PAVILION X360 DH0103TU 6ZF24PA (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
70,"LAPTOP HP PAVILION 15 CS2057TX 6YZ20PA (Core i5 8265U, Ram 4G, HDD 1TB, Màn hình 15.6, VGA MX130 2G, Win 10)"
71,"LAPTOP HP PAVILION 15 CS2056TX 6YZ11PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6, VGA MX130 2G, Win 10)"
72,"LAPTOP ACER SWIFT 5 SF514 53T 740R (Core i7 8565U, Ram 8GB, SSD 256GB, Màn hình 14 FHD, Win 10)"
73,"LAPTOP ACER SWIFT 5 SF514 53T 51EX (Core i5 8265U, Ram 8GB, SSD 256GB, Màn hình 14 FHD, Win 10)"
74,"LAPTOP ACER SWIFT 3 SF313 51 56UW (Core i5 8250U, Ram 8GB, SSD 256GB, Màn hình 13.3FHD, Win 10)"
75,"LAPTOP ASUS F570ZD - FY415T (RYZEN 5 2500U, Ram 8GB, HDD 1TB, Màn hình 15.6 FHD, VGA 1050 4G, Win 10)"
76,"LAPTOP HP ENVY X360 AR0071AU 6ZF30PA (AMD 3500U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, WIN 10)"
77,"LAPTOP HP ENVY 13 AQ0026TU 6ZF38PA (Core i5 8265U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, Win 10)"
78,"LAPTOP MSI GL63 9SE 831VN (Core i7 9750H, Ram 16GB, SSD 512G, Màn hình 15.6 FHD, VGA RTX 2060  6GB, Win 10)"
79,"LAPTOP MSI GL73 9SD 276VN (Core i7 9750H, Ram 16GB, Màn hình 17.3 FHD, SSD 512GB, VGA 6GB 1660TI, WIN 10)"
80,"LAPTOP HP PAVILION 14 CE2041TU 6ZT94PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
81,"LAPTOP HP PAVILION 14 CE2039TU 6YZ15PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
82,"LAPTOP HP PAVILION 14 CE2038TU 6YZ21PA (Core i5 8265U, Ram 4GB, HDD 1TB, màn hình 14 FHD, WIN 10)"
83,"LAPTOP ASUS TUF GAMING FX505GE BQ056T (Core i7 8750H, Ram 8GB HDD 1TB, Màn hình 15.6 FHD, VGA 4GB 1050Ti, WIN 10)"
84,"LAPTOP ASUS TUF GAMING FX505DD AL186T (RYZEN 5 3550H, Ram 8GB, SSD 512GB, VGA 1050 3G, Màn hình 15.6 FHD, Win 10)"
85,"LAPTOP HP PAVILION 14 CE2034TU  6YZ17PA (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, Win 10)"
86,"LAPTOP HP PAVILION 14 CE2037TU 6YZ13PA (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, Win 10)"
87,"LAPTOP ASUS VIVOBOOK A512FA - EJ099T (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, WIN 10)"
88,"LAPTOP ACER ASPIRE 3 A315 53 P3YE (PENTIUM 4417U, Ram 4GB, HDD 500GB, Màn hình 15.6, WIN 10)"
89,"LAPTOP ACER NITRO 5 AN515 54 71UP (Core i7 8750H, Ram 8GB, SSD 256G, Màn hình 15.6 FHD, VGA 1050 3G, Win 10)"
90,"LAPTOP ACER NITRO 5 AN515 54 7882 (Core i7 8750H, Ram 8G, SSD 256G, Màn hình 15.6 FHD, VGA 1650 4G, Win 10)"
91,"LAPTOP ACER ASPIRE E5 476 399X (Core i3 8130U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
92,"LAPTOP HP PAVILION 15 CS2034TU 6YZ06PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, WIN 10)"
93,"LAPTOP HP PAVILION 15 CS2033TU 6YZ14PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, WIN 10)"
