title,warranty,price,image_item_origin,image_item_resize,item_infos,item_infos_technical
Go Pro Sandmarc Pole - Compact Edition,,930000,"[""https://philong.com.vn/media/product/1413_go_pro_sandmarc_pole_compact_edition.jpg""]","[""https://philong.com.vn/media/product/120-1413_go_pro_sandmarc_pole_compact_edition.jpg""]",['Gậy tự sướng cho Go Pro(26-64 cm)'],None
Gopro P0ole Black 40 Inch,,1080000,"[""https://philong.com.vn/media/product/1412_gopro_pole_black_40_inch.jpg""]","[""https://philong.com.vn/media/product/120-1412_gopro_pole_black_40_inch.jpg""]","[""Gậy tự sướng Pov Pole 40'' for Gopro (100cm)""]",None
Gopro Suction Cup Mount,,1154000,"[""https://philong.com.vn/media/product/1411_gopro_suction_cup_mount.jpg""]","[""https://philong.com.vn/media/product/120-1411_gopro_suction_cup_mount.jpg""]",['Chân Gắn Suction GoPro'],None
Gopro Chest Mount Harness,,1187000,"[""https://philong.com.vn/media/product/1410_gopro_chest_mount_harness.jpg""]","[""https://philong.com.vn/media/product/120-1410_gopro_chest_mount_harness.jpg""]",['- Dây đeo trước ngực - Không gây vướng víu - Dễ dàng tháo lắp'],None
Gopro The Frame Mount,12 tháng,1197000,"[""https://philong.com.vn/media/product/1409_gopro_the_frame_mount.jpg""]","[""https://philong.com.vn/media/product/120-1409_gopro_the_frame_mount.jpg""]",['Vỏ Bảo Vệ Gopro The Frame - Bảo vệ vỏ camera - Bảo vệ ống kinh camera'],None
Gopro Yellow Case Small,12 tháng,1218000,"[""https://philong.com.vn/media/product/1408_gopro_yellow_case_small.jpg""]","[""https://philong.com.vn/media/product/120-1408_gopro_yellow_case_small.jpg""]",['Túi bảo vệ máy loại màu vàng'],None
GOPRO 3-WAY,,1760000,"[""https://philong.com.vn/media/product/1404_gopro_3_way.jpg""]","[""https://philong.com.vn/media/product/120-1404_gopro_3_way.jpg""]",['Chân gắn 3 kiểu : + Là tay cầm + Là cánh tay mở rộng gập 3 khúc + Là giá đỡ ba chân'],None
Gopro lcd Touch BacPac,,Liên h,"[""https://philong.com.vn/media/product/1401_gopro_lcd_touch_bacpac.jpg""]","[""https://philong.com.vn/media/product/120-1401_gopro_lcd_touch_bacpac.jpg""]","['Compose Shots và Review Footage.', 'Màn hình camera cảm ứng.', 'Loa và Jack Headphone 3.5mm', 'Độ sáng có thể điều chỉnh Touch, Skeleton, và Standard Backdoors Dành cho HERO3, HERO3 +, và HERO4']",None
Camera Hành Trình Let s View HH-200M (korea),24 tháng,5500000,"[""https://philong.com.vn/media/product/1392_1489995348_front.jpg""]","[""https://philong.com.vn/media/product/120-1392_1489995348_front.jpg""]","['Màn hình: LCD cảm ứng 3,5 inch.', 'Thẻ nhớ: 8GB~32GB.', 'Ghi hình thông thường: Chế độ thường, Chế độ va chạm. Ghi hình đỗ xe:', 'Chế độ phát hiện chuyển động phía sau.', 'Cảm biến hình ảnh: Camera trước HD CMOS, Camera sau: HD CMOS.', 'Góc quay: Camera trước góc quay 110 độ, camera sau góc quay 110 độ.', 'Độ phân giải: Trước SHD(1280 x 720), Sau HD(1280 x 720).\xa0']",None
"Khoá chắn chống trộm cho shop, siêu thị UPG-KM-SL100",,14000,"[""https://philong.com.vn/media/product/1383_khoa_chan_chong_trom_cho_shop_sieu_thiupg_km_sl100.jpg""]","[""https://philong.com.vn/media/product/120-1383_khoa_chan_chong_trom_cho_shop_sieu_thiupg_km_sl100.jpg""]",None,None
Sac Camera YI Action,,150000,"[""https://philong.com.vn/media/product/1382_222.jpg"", ""https://philong.com.vn/media/product/1382_sac_camera_yi_action.jpg""]","[""https://philong.com.vn/media/product/120-1382_222.jpg"", ""https://philong.com.vn/media/product/120-1382_sac_camera_yi_action.jpg""]",['- Sạc rời cho Xiaomi Yi Action Camera'],None
Pin Camera YI Action,,150000,"[""https://philong.com.vn/media/product/1381_bwx7boxi23c5k.jpg"", ""https://philong.com.vn/media/product/1381_bwx7boxi23c5k.jpg""]","[""https://philong.com.vn/media/product/120-1381_bwx7boxi23c5k.jpg"", ""https://philong.com.vn/media/product/120-1381_bwx7boxi23c5k.jpg""]",['- Pin dự phòng thay thế của Camera Xiaomi Yi Action - Dung lượng 960mAh'],None
